7/29/2025 23:25:36,yes,yes,3
7/30/2025 14:00:28,yes,yes,5
7/30/2025 14:03:12,yes,yes,4
7/30/2025 14:12:29,no,no,1
7/30/2025 14:34:16,yes,no,1
7/30/2025 18:55:46,yes,yes,5
7/30/2025 19:06:58,yes,no,1
7/30/2025 22:55:10,yes,no,2
7/31/2025 11:03:14,"yes, no",no,5
7/31/2025 11:03:22,no,no,5
7/31/2025 11:03:25,"yes, no",yes,5
7/31/2025 11:03:29,no,yes,5
7/31/2025 11:03:35,"yes, no",no,5
7/31/2025 11:03:36,yes,yes,3
7/31/2025 11:03:42,no,no,1
7/31/2025 11:03:48,"yes, no",yes,3
7/31/2025 11:03:54,yes,no,1
7/31/2025 11:03:55,no,yes,4
7/31/2025 11:04:02,yes,yes,2
7/31/2025 11:04:02,yes,yes,1
7/31/2025 11:04:08,no,yes,1
7/31/2025 11:04:15,"yes, no",yes,3
7/31/2025 11:06:37,yes,yes,5
7/31/2025 11:06:38,no,yes,5
7/31/2025 11:06:52,no,yes,1
7/31/2025 11:07:21,"yes, no",yes,3
7/31/2025 11:07:32,"yes, no",no,1
7/31/2025 11:42:43,yes,no,2
7/31/2025 19:44:10,yes,no,4
8/2/2025 18:42:41,yes,no,1
8/4/2025 10:48:35,no,no,1
8/4/2025 10:48:49,no,no,1
8/4/2025 10:48:51,no,no,1
8/4/2025 10:48:56,no,no,2
8/4/2025 10:49:08,no,no,1
8/4/2025 10:49:12,yes,no,1
8/4/2025 10:49:12,yes,no,1
8/4/2025 10:49:18,"yes, no",no,1
8/4/2025 10:49:18,no,no,1
8/4/2025 10:49:21,no,,
8/4/2025 10:49:21,yes,yes,5
8/4/2025 10:49:22,yes,yes,5
8/4/2025 10:49:22,no,no,1
8/4/2025 10:49:28,yes,yes,5
8/4/2025 10:49:32,yes,no,1
8/4/2025 10:49:33,yes,no,1
8/4/2025 10:49:35,no,yes,3
8/4/2025 10:49:37,no,no,3
8/4/2025 10:49:38,"yes, no",yes,2
8/4/2025 10:49:41,yes,yes,5
8/4/2025 10:49:43,no,no,1
8/4/2025 10:49:53,yes,no,2
8/4/2025 10:49:55,yes,yes,2
8/4/2025 10:49:57,no,yes,2
8/4/2025 10:50:00,no,no,1
8/4/2025 10:50:06,no,no,1
8/4/2025 10:50:09,yes,no,5
8/4/2025 10:50:13,no,no,1
8/4/2025 10:50:13,yes,no,1
8/4/2025 10:50:14,no,no,1
8/4/2025 10:50:15,no,no,1
8/4/2025 10:50:18,no,no,1
8/4/2025 10:50:18,yes,yes,3
8/4/2025 10:50:18,no,no,1
8/4/2025 10:50:28,no,no,1
8/4/2025 10:50:29,yes,yes,5
8/4/2025 10:50:38,yes,no,2
8/4/2025 10:50:40,no,no,1
8/4/2025 10:50:41,no,,1
8/4/2025 10:50:43,no,no,1
8/4/2025 10:50:52,no,no,1
8/4/2025 10:50:54,yes,yes,2
8/4/2025 10:51:00,no,no,1
8/4/2025 10:51:20,no,no,1
8/4/2025 10:51:33,no,no,1
8/4/2025 10:51:33,no,no,2
8/4/2025 10:51:34,yes,no,5
8/4/2025 10:51:43,no,no,3
8/4/2025 10:52:02,yes,yes,4
8/4/2025 10:52:07,no,no,2
8/4/2025 10:52:07,no,,1
8/4/2025 10:52:33,yes,yes,4
8/4/2025 10:52:41,no,no,2
8/4/2025 10:52:46,yes,yes,1
8/4/2025 10:53:40,no,no,1
8/4/2025 10:54:22,no,,2
8/4/2025 10:56:38,yes,yes,5
8/4/2025 10:56:46,no,yes,3
8/4/2025 10:57:22,no,,1
8/4/2025 10:57:23,yes,yes,5
8/4/2025 10:57:48,yes,yes,3
8/4/2025 10:57:57,yes,no,3
8/4/2025 10:58:09,no,,1
8/4/2025 10:58:22,yes,no,3
8/4/2025 10:58:37,no,no,1
8/4/2025 10:58:51,no,no,1
8/4/2025 11:03:42,no,,2
8/4/2025 11:06:56,yes,yes,2
8/4/2025 11:08:24,yes,no,3
8/4/2025 11:33:35,yes,yes,2
8/4/2025 11:34:01,no,no,1
8/4/2025 11:36:22,yes,no,3
8/4/2025 11:37:02,no,yes,2
8/4/2025 11:37:10,no,,
8/4/2025 11:37:44,yes,yes,5
8/4/2025 11:38:27,no,,
8/4/2025 11:38:39,no,,
8/4/2025 11:39:03,no,yes,2
8/4/2025 11:41:33,yes,yes,2
8/4/2025 11:43:42,yes,no,2
8/4/2025 11:43:51,no,no,1
8/4/2025 11:44:06,no,no,1
8/4/2025 11:51:20,yes,no,2
8/4/2025 11:52:59,no,,1
8/4/2025 11:59:32,yes,no,2
8/4/2025 12:01:55,no,no,1
8/4/2025 12:02:30,no,yes,5
8/4/2025 12:06:50,no,yes,5
8/4/2025 12:07:57,no,yes,2
8/4/2025 12:08:07,no,yes,2
8/4/2025 12:10:37,no,no,1
8/4/2025 12:11:29,no,no,1
8/4/2025 12:16:04,yes,yes,5
8/4/2025 12:17:09,no,,
8/4/2025 12:18:29,no,yes,5
8/4/2025 12:22:33,no,no,3
8/4/2025 12:34:20,no,no,1
8/4/2025 12:34:23,no,no,1
8/4/2025 12:34:37,no,no,1
8/4/2025 12:51:02,no,yes,2
8/4/2025 12:51:25,yes,no,1
8/4/2025 12:51:26,no,,1
8/4/2025 13:10:44,yes,no,2
8/4/2025 13:13:09,yes,no,1
8/4/2025 13:22:17,no,no,1
8/4/2025 13:25:34,no,no,2
8/4/2025 13:27:07,no,no,2
8/4/2025 13:42:06,yes,yes,3
8/4/2025 13:49:48,no,,1
8/4/2025 14:03:10,no,no,1
8/4/2025 14:20:33,yes,yes,5
8/4/2025 14:21:13,"yes, no",yes,5
8/4/2025 14:22:09,yes,yes,5
8/4/2025 14:30:23,yes,no,2
8/4/2025 14:40:31,yes,no,2
8/4/2025 15:55:12,yes,yes,4
8/4/2025 16:23:39,no,no,1
8/4/2025 16:23:48,no,no,1
8/4/2025 17:17:49,yes,yes,1
8/4/2025 17:27:25,yes,no,2
8/4/2025 17:27:49,yes,no,2
8/4/2025 17:48:05,yes,no,1
8/4/2025 17:48:17,yes,no,1
8/4/2025 19:07:29,no,no,2
8/4/2025 19:07:51,no,no,2
8/4/2025 19:50:29,no,no,
8/4/2025 20:55:27,yes,no,3
8/4/2025 21:09:50,yes,no,2
8/4/2025 21:10:23,yes,no,2
8/4/2025 21:28:06,no,no,4
8/4/2025 21:54:46,no,no,5
8/5/2025 7:23:30,no,no,1
8/5/2025 9:03:21,no,no,1
8/5/2025 9:03:33,no,no,1
8/5/2025 9:07:24,yes,no,2
8/5/2025 9:08:00,no,,1
8/5/2025 9:08:14,no,,
8/5/2025 9:08:14,no,no,1
8/5/2025 9:08:15,yes,yes,5
8/5/2025 9:08:20,yes,yes,1
8/5/2025 9:08:23,no,,2
8/5/2025 9:40:42,no,no,1
8/5/2025 9:42:56,no,no,1
8/5/2025 9:43:11,no,no,1
8/5/2025 9:56:22,no,,
8/5/2025 9:59:20,yes,yes,4
8/5/2025 10:06:55,yes,no,2
8/5/2025 10:24:54,yes,yes,5
8/5/2025 12:25:48,yes,no,1
8/5/2025 17:30:15,no,no,1
8/5/2025 17:46:35,no,no,1
8/6/2025 7:40:22,no,,1
8/6/2025 9:05:32,no,no,1
8/6/2025 9:08:14,yes,no,3
8/6/2025 19:06:37,no,no,
8/7/2025 13:22:17,no,,1
8/7/2025 20:58:28,no,no,1
